gpsc	stCount	st
78	6	5511, 5706, 9931, 12291, 12688, 15592
79	16	5410, 7071, 7370, 7371, 7376, 9443, 10838, 10875, 12396, 12539, 12571, 16851, 16863, 16873, 16893, 16963
80	12	916, 917, 10594, 10618, 10629, 10903, 11711, 11712, 12312, 12749, 15595, 15628
81	28	344, 1054, 2251, 2315, 4047, 7611, 8991, 9809, 10241, 10980, 10985, 10993, 11084, 11093, 11731, 11878, 12192, 12201, 12407, 12720, 15789, 15794, 15817, 15893, 15903, 16696, 16698, 16703
82	3	982, 4384, 12378
83	8	232, 260, 378, 1220, 1377, 6014, 7369, 11931
84	40	1730, 2014, 2015, 2483, 2931, 2988, 3100, 3515, 3518, 4194, 5661, 5702, 7526, 7622, 7639, 7678, 7680, 7682, 10589, 10658, 10669, 10969, 11013, 11017, 11034, 12307, 12488, 12725, 12789, 12888, 12899, 13865, 13936, 14500, 15612, 15676, 15721, 16123, 16715, 17081
86	17	2036, 2213, 2712, 5048, 7666, 9438, 9554, 10757, 10839, 11000, 11024, 12744, 13941, 14498, 15543, 15641, 15688
87	3	5963, 15965, 16076
88	17	1264, 1735, 3317, 4108, 5509, 6486, 6509, 6569, 6985, 9486, 11162, 11702, 11703, 11705, 12316, 12377, 12799
89	5	1292, 1379, 2064, 9455, 12848
90	24	7860, 8326, 8328, 8331, 8332, 8660, 9928, 10558, 10641, 10648, 10678, 10703, 10714, 10827, 11070, 11109, 11118, 11681, 12145, 12522, 16865, 16898, 16948, 16975
91	15	373, 5079, 6514, 8958, 9574, 10992, 11012, 12369, 12394, 15008, 15566, 15567, 16172, 16803, 16826
92	15	5368, 5391, 7053, 7105, 10587, 10614, 10645, 11127, 11742, 12178, 15770, 15773, 15796, 15940, 15950
93	6	4956, 5557, 8838, 10639, 11126, 11713
94	13	2174, 5545, 6857, 9509, 10607, 10902, 10905, 11718, 12238, 12296, 12300, 12777, 16688
95	8	241, 5063, 6326, 7442, 12788, 12791, 12806, 16073
96	14	74, 1504, 3744, 5083, 5199, 9476, 11692, 14455, 14456, 14457, 15686, 16043, 16069, 16075
97	7	376, 1339, 2268, 2270, 8207, 10159, 10178
98	10	404, 1268, 1480, 2894, 3406, 4202, 5680, 10852, 13914, 16687
99	2	432, 1848
101	20	1078, 1406, 2854, 3476, 3520, 6550, 8507, 11011, 11040, 12783, 14433, 14504, 14802, 16126, 16712, 16741, 16760, 16772, 16784, 16807
102	15	4423, 4894, 7672, 7687, 9566, 10880, 11103, 11765, 12153, 13908, 14467, 15876, 15906, 16125, 16133
103	7	3407, 6847, 10778, 10805, 10908, 11764, 12422
104	21	4229, 6030, 7631, 7632, 7633, 11916, 12284, 12467, 12504, 12807, 14422, 14472, 14477, 14548, 14562, 15687, 15810, 15833, 15837, 16159, 16167
105	11	5449, 5623, 5625, 5626, 6148, 6348, 7433, 7457, 8008, 12846, 12847
106	7	2218, 2572, 12176, 12370, 12371, 12770, 16684
107	4	870, 12161, 12203, 12368
108	5	915, 6502, 9487, 9938, 15613
109	1	3009
110	1	4936
111	1	1390
